Author_Id,Affiliation,Latitude,Longitude,Year,Author Name,Attended_date
2281,Universidad Pública de Navarra,42.7954701,-1.6289092,2011,Alberto Labarga,2018
2282,Universidad Pública de Navarra,42.7954701,-1.6289092,2020,Alberto Labarga,2018
2283,Universidad Pública de Navarra,42.7954701,-1.6289092,2015,Alberto Labarga,2018
2284,Universidad Pública de Navarra,42.7954701,-1.6289092,2020,Alberto Labarga,2018
2285,Universidad Pública de Navarra,42.7954701,-1.6289092,2011,Alberto Labarga,2018
2286,Universidad Pública de Navarra,42.7954701,-1.6289092,2011,Alberto Labarga,2018
2287,Universidad Pública de Navarra,42.7954701,-1.6289092,2011,Alberto Labarga,2018
2288,Universidad Pública de Navarra,42.7954701,-1.6289092,2009,Alberto Labarga,2018
2289,Universidad Pública de Navarra,42.7954701,-1.6289092,2002,Alberto Labarga,2018
2290,Universidad Pública de Navarra,42.7954701,-1.6289092,2015,Alberto Labarga,2018
2291,Universidad Pública de Navarra,42.7954701,-1.6289092,2010,Alberto Labarga,2018
2292,Universidad Pública de Navarra,42.7954701,-1.6289092,2010,Alberto Labarga,2018
2293,Universidad Pública de Navarra,42.7954701,-1.6289092,2005,Alberto Labarga,2018
2294,Universidad Pública de Navarra,42.7954701,-1.6289092,2023,Alberto Labarga,2018
2295,Universidad Pública de Navarra,42.7954701,-1.6289092,2020,Alberto Labarga,2018
2296,Universidad Pública de Navarra,42.7954701,-1.6289092,2019,Alberto Labarga,2018
2297,Universidad Pública de Navarra,42.7954701,-1.6289092,2019,Alberto Labarga,2018
2298,Universidad Pública de Navarra,42.7954701,-1.6289092,2016,Alberto Labarga,2018
2299,Universidad Pública de Navarra,42.7954701,-1.6289092,2015,Alberto Labarga,2018
2300,Universidad Pública de Navarra,42.7954701,-1.6289092,2011,Alberto Labarga,2018
2301,Universidad Pública de Navarra,42.7954701,-1.6289092,2004,Alberto Labarga,2018
2302,Universidad Pública de Navarra,42.7954701,-1.6289092,2003,Alberto Labarga,2018
2303,Universidad Pública de Navarra,42.7954701,-1.6289092,2002,Alberto Labarga,2018
2304,Universidad Pública de Navarra,42.7954701,-1.6289092,2000,Alberto Labarga,2018
2305,Universidad Pública de Navarra,42.7954701,-1.6289092,2000,Alberto Labarga,2018
2306,Universidad Pública de Navarra,42.7954701,-1.6289092,,Alberto Labarga,2018
2307,Universidad Pública de Navarra,42.7954701,-1.6289092,,Alberto Labarga,2018
1,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
2,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
3,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
4,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
5,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
6,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
7,The Hospital for Sick Children,38.9414958,-76.9812085,2020,Alistair Johnson,2015
8,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
9,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
10,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
11,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
12,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
13,The Hospital for Sick Children,38.9414958,-76.9812085,2013,Alistair Johnson,2015
14,The Hospital for Sick Children,38.9414958,-76.9812085,2014,Alistair Johnson,2015
15,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
16,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
17,The Hospital for Sick Children,38.9414958,-76.9812085,2015,Alistair Johnson,2015
18,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
19,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
20,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
21,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
22,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
23,The Hospital for Sick Children,38.9414958,-76.9812085,2015,Alistair Johnson,2015
24,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
25,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
26,The Hospital for Sick Children,38.9414958,-76.9812085,2014,Alistair Johnson,2015
27,The Hospital for Sick Children,38.9414958,-76.9812085,2012,Alistair Johnson,2015
28,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
29,The Hospital for Sick Children,38.9414958,-76.9812085,2013,Alistair Johnson,2015
30,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
31,The Hospital for Sick Children,38.9414958,-76.9812085,2014,Alistair Johnson,2015
32,The Hospital for Sick Children,38.9414958,-76.9812085,2015,Alistair Johnson,2015
33,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
34,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
35,The Hospital for Sick Children,38.9414958,-76.9812085,2020,Alistair Johnson,2015
36,The Hospital for Sick Children,38.9414958,-76.9812085,2014,Alistair Johnson,2015
37,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
38,The Hospital for Sick Children,38.9414958,-76.9812085,2020,Alistair Johnson,2015
39,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
40,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
41,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
42,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
43,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
44,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
45,The Hospital for Sick Children,38.9414958,-76.9812085,2020,Alistair Johnson,2015
46,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
47,The Hospital for Sick Children,38.9414958,-76.9812085,2014,Alistair Johnson,2015
48,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
49,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
50,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
51,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
52,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
53,The Hospital for Sick Children,38.9414958,-76.9812085,2014,Alistair Johnson,2015
54,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
55,The Hospital for Sick Children,38.9414958,-76.9812085,2013,Alistair Johnson,2015
56,The Hospital for Sick Children,38.9414958,-76.9812085,2021,Alistair Johnson,2015
57,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
58,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
59,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
60,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
61,The Hospital for Sick Children,38.9414958,-76.9812085,2020,Alistair Johnson,2015
62,The Hospital for Sick Children,38.9414958,-76.9812085,2021,Alistair Johnson,2015
63,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
64,The Hospital for Sick Children,38.9414958,-76.9812085,2013,Alistair Johnson,2015
65,The Hospital for Sick Children,38.9414958,-76.9812085,2013,Alistair Johnson,2015
66,The Hospital for Sick Children,38.9414958,-76.9812085,2010,Alistair Johnson,2015
67,The Hospital for Sick Children,38.9414958,-76.9812085,1931,Alistair Johnson,2015
68,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
69,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
70,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
71,The Hospital for Sick Children,38.9414958,-76.9812085,2021,Alistair Johnson,2015
72,The Hospital for Sick Children,38.9414958,-76.9812085,2020,Alistair Johnson,2015
73,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
74,The Hospital for Sick Children,38.9414958,-76.9812085,2014,Alistair Johnson,2015
75,The Hospital for Sick Children,38.9414958,-76.9812085,2019,Alistair Johnson,2015
76,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
77,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
78,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
79,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
80,The Hospital for Sick Children,38.9414958,-76.9812085,2009,Alistair Johnson,2015
81,The Hospital for Sick Children,38.9414958,-76.9812085,1991,Alistair Johnson,2015
82,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
83,The Hospital for Sick Children,38.9414958,-76.9812085,2021,Alistair Johnson,2015
84,The Hospital for Sick Children,38.9414958,-76.9812085,1997,Alistair Johnson,2015
85,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
86,The Hospital for Sick Children,38.9414958,-76.9812085,2021,Alistair Johnson,2015
87,The Hospital for Sick Children,38.9414958,-76.9812085,2016,Alistair Johnson,2015
88,The Hospital for Sick Children,38.9414958,-76.9812085,2010,Alistair Johnson,2015
89,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
90,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
91,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
92,The Hospital for Sick Children,38.9414958,-76.9812085,2010,Alistair Johnson,2015
93,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
94,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
95,The Hospital for Sick Children,38.9414958,-76.9812085,2023,Alistair Johnson,2015
96,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
97,The Hospital for Sick Children,38.9414958,-76.9812085,2022,Alistair Johnson,2015
98,The Hospital for Sick Children,38.9414958,-76.9812085,2021,Alistair Johnson,2015
99,The Hospital for Sick Children,38.9414958,-76.9812085,2018,Alistair Johnson,2015
100,The Hospital for Sick Children,38.9414958,-76.9812085,2017,Alistair Johnson,2015
